,Id,AcceptedAnswerId,ViewCount,AnswerCount
193,875,,1482,1
194,880,881,631,1
195,894,895,1548,1
196,896,898,760,1
197,899,901,8009,4
198,905,,271,2
199,906,908,951,2
200,909,910,2691,2
201,914,915,3784,1
202,916,917,1986,1
203,927,1502,537,1
204,930,953,14581,3
205,932,935,4535,9
206,936,938,8508,3
207,939,942,2288,3
208,940,,615,3
209,947,949,266,1
210,951,955,262,1
211,956,957,3148,1
212,961,962,241,1
213,966,967,471,1
214,968,970,7334,2
215,969,972,3343,2
216,973,,689,3
217,979,1007,58,1
218,980,1004,167,1
219,981,,171,1
220,983,984,977,2
221,988,993,1018,2
222,991,994,8734,4
223,996,999,1264,3
224,1003,,249,2
225,1008,1010,686,3
226,1012,1013,227,1
227,1014,1020,2177,2
228,1015,1018,1068,4
229,1017,1128,488,1
230,1021,1024,165,1
231,1026,,194,3
232,1028,,600,0
233,1030,1031,3292,1
234,1039,1043,178,1
235,1046,,71,2
236,1051,1142,254,1
237,1054,,161,2
238,1056,1066,1239,7
239,1069,,426,2
240,1071,1081,2232,3
241,1072,1089,1383,1
242,1073,2634,146,2
243,1076,1077,2140,2
244,1087,,23447,3
245,1091,,1091,3
246,1097,1099,260,1
247,1112,,73,1
248,1117,1134,1281,1
249,1118,1185,616,2
250,1132,1133,4176,3
251,1138,1144,14069,2
252,1139,1141,3351,1
253,1148,,16742,7
254,1159,1168,1450,3
255,1161,1164,436,4
256,1162,1180,6102,2
257,1173,1775,193,1
258,1174,1184,7838,5
259,1179,1248,78,1
260,1182,1183,632,1
261,1188,,268,1
262,1194,,1217,3
263,1196,1198,765,3
264,1199,1202,134,1
265,1200,,3939,5
266,1204,,119,2
267,1207,1212,1163,3
268,1214,1388,436,2
269,1217,1264,653,3
270,1218,1219,367,2
271,1221,1328,74,1
272,1222,1224,9139,6
273,1227,,1170,2
274,1229,1231,10394,5
275,1232,,287,1
276,1234,1238,13879,3
277,1239,1240,93,1
278,1245,1247,386,2
279,1250,1252,28591,4
280,1258,1281,297,1
281,1260,,205,1
282,1267,1272,28310,3
283,1270,1286,5056,3
284,1271,,97,2
285,1275,,419,3
286,1284,,9498,2
287,1290,,2147,1
288,1291,1292,223,2
289,1295,,119,0
290,1296,1309,485,1
291,1297,1298,22668,4
292,1299,1308,1069,1
293,1300,1304,1291,2
294,1310,,434,3
295,1316,1318,1231,2
296,1319,,9155,4
297,1321,1322,12075,1
298,1323,1324,355,3
299,1325,1327,5284,1
300,1326,,587,1
301,1332,1334,2461,2
302,1335,1336,5821,4
303,1342,1349,2019,3
304,1346,1354,342,2
305,1348,1457,775,2
306,1350,1353,1856,1
307,1362,1379,635,1
308,1363,36844,561,1
309,1366,1371,70125,6
310,1367,1368,7155,3
311,1372,1375,698,2
312,1374,1395,52066,4
313,1381,,122,1
314,1398,,209,2
315,1402,1403,2191,2
316,1411,,865,1
317,1412,,798,2
318,1417,1421,547,2
319,1422,,156,2
320,1426,1429,316,2
321,1430,7380,810,2
322,1433,1451,2613,2
323,1434,1435,4016,1
324,1438,1439,450,1
325,1440,1555,142,2
326,1441,1449,1246,2
327,1444,1446,1439,4
328,1445,,388,2
329,1448,1501,44678,6
330,1452,1464,12028,4
331,1453,1478,227,1
332,1455,1456,746,1
333,1458,1459,72927,2
334,1460,1461,23717,1
335,1465,1472,793,1
336,1466,,496,1
337,1470,1473,137,1
338,1474,1475,5728,2
339,1476,1587,106,1
340,1479,,17277,7
341,1483,36848,4706,3
342,1487,1488,322886,2
343,1489,,85,1
344,1491,1496,117,1
345,1492,1506,2230,2
346,1493,1497,47400,2
347,1495,,309,1
348,1503,,171,1
349,1504,1526,204,1
350,1509,1510,2421,1
351,1531,1532,27240,2
352,1539,1544,20370,4
353,1551,1556,70,1
354,1557,1558,3679,4
355,1560,1632,2898,2
356,1567,,80,1
357,1570,1577,362,1
358,1575,,10825,2
359,1588,1831,679,3
360,1593,3167,231,1
361,1597,,1473,1
362,1599,1600,293,1
363,1601,1665,83,1
364,1630,1646,926,2
365,1633,,101,3
366,1642,1644,556,1
367,1643,1647,399,1
368,1648,1661,47582,5
369,1650,1653,21840,6
370,1651,1753,3369,4
371,1660,1662,535,2
372,1664,1725,165,1
373,1685,1692,960,1
374,1687,,6543,3
375,1721,,1781,1
376,1722,1769,89,1
377,1723,1779,620,2
378,1724,4694,363,2
379,1726,,704,1
380,1728,,85,1
381,1729,,631,1
382,1730,,374,2
383,1732,,6621,3
384,1736,1749,1417,1
385,1738,1739,15774,1
386,1740,,34855,2
387,1744,1745,217,1
388,1747,1748,107,1
389,1750,2606,1633,3
390,1751,1754,408,2
391,1752,1756,2862,4
392,1762,1767,116,2
393,1768,2202,972,4
394,1778,,1860,1
395,1780,1781,2395,2
396,1783,1794,3672,2
397,1784,1785,16552,3
398,1786,2029,3196,2
399,1787,,299,1
400,1788,1947,1301,3
401,1789,2017,956,3
402,1790,1792,64823,5
403,1795,34672,309,2
404,1798,1808,130,1
405,1799,1800,9015,2
406,1801,1803,537,1
407,1802,,1392,1
408,1809,,1530,1
409,1812,,7483,3
410,1814,1818,282,1
411,1815,,896,1
412,1816,1817,109,1
413,1820,,238,1
414,1822,1928,4199,2
415,1823,,576,1
416,1826,,2094,2
417,1827,,835,1
418,1829,1830,5090,1
419,1840,1860,41528,4
420,1842,,4222,3
421,1845,1846,31371,2
422,1861,2049,126,1
423,1866,,878,2
424,1869,1873,44315,4
425,1876,1877,120,1
426,1878,1890,2788,3
427,1879,1882,1194,1
428,1887,1889,1842,3
429,1898,1929,591,1
430,1902,,271,2
431,1905,1911,874,1
432,1906,1908,6116,3
433,1907,1910,4391,2
434,1912,1943,3740,2
435,1918,1923,744,1
436,1919,,806,3
437,1922,,107,2
438,1924,1932,130,1
439,1933,,992,2
440,1934,,1489,1
441,1936,1942,143,1
442,1945,1946,188,2
443,1948,1967,1311,1
444,1949,1961,466,1
445,1952,1958,4467,5
446,1954,1955,99,1
447,1957,1970,791,1
448,1959,1960,7612,1
449,1962,,471,1
450,1964,1965,313,2
451,1969,1978,4043,1
452,1971,1972,33108,2
453,1973,2009,213,1
454,1977,1989,104,1
455,1982,,682,1
456,1983,1985,5278,2
457,1984,1988,74,1
458,1986,,1833,2
459,1992,1997,509,1
460,1993,,1668,0
461,1996,1998,1027,1
462,2000,2027,621,2
463,2002,,519,3
464,2003,37252,234,3
465,2007,2299,387,1
466,2010,2015,1085,1
467,2012,2019,11031,3
468,2016,2018,1777,4
469,2023,2024,295,3
470,2026,2028,50,1
471,2030,,6438,2
472,2031,,596,2
473,2033,8787,6043,4
474,2035,2039,102,1
475,2036,2037,2051,2
476,2038,,412,1
477,2040,,6246,2
478,2046,2051,1179,2
479,2050,2065,230,1
480,2055,2105,2746,3
481,2056,2060,1364,2
482,2059,2085,120,1
483,2063,2064,2405,1
484,2067,2074,201,1
485,2068,2072,520,1
486,2070,,1162,3
487,2076,2078,338,3
488,2080,,1384,1
489,2081,,93,1
490,2084,,194,1
491,2092,,26102,2
492,2095,,1053,2
493,2098,2113,49,1
494,2099,,609,2
495,2103,2106,982,2
496,2104,,1950,1
497,2109,3546,1002,3
498,2111,2195,444,2
499,2112,,794,2
500,2118,3214,647,2
501,2123,2125,176,1
502,2124,2136,8392,1
503,2130,2133,1421,4
504,2135,,127,1
505,2148,2150,1132,1
506,2149,,1057,4
507,2152,2190,115,1
508,2153,2163,374,1
509,2155,,6873,2
510,2160,2221,140,2
511,2164,2232,128,1
512,2171,5003,200,1
513,2176,2179,152,4
514,2180,2183,191,1
515,2181,,764,2
516,2184,2185,10068,2
517,2186,2208,2186,2
518,2187,2198,1239,2
519,2193,2194,410,1
520,2200,2218,1181,2
521,2201,2205,1181,2
522,2211,,1845,0
523,2213,2967,711,1
524,2214,2215,122,1
525,2216,2219,110,1
526,2217,,52,1
527,2222,28604,720,1
528,2228,2236,291,2
529,2230,,524,2
530,2235,2241,4145,2
531,2237,2238,2156,2
532,2240,,158,2
533,2242,2245,936,1
534,2243,,361,1
535,2246,2608,4686,2
536,2250,2276,1567,2
537,2252,2290,382,1
538,2253,2255,2897,2
539,2256,2262,1242,2
540,2259,,1328,4
541,2261,3831,4134,2
542,2265,2269,1209,2
543,2266,2271,9640,4
544,2268,2270,941,2
545,2277,2278,351,1
546,2279,2292,2050,1
547,2280,2298,88,1
548,2282,,803,2
549,2284,2448,218,2
550,2285,2286,437,1
551,2287,2300,711,3
552,2301,,88,0
553,2302,2402,66,1
554,2303,,301,2
555,2306,2308,10017,2
556,2309,,113,2
557,2312,,4511,3
558,2314,2318,1148,1
559,2315,2375,2981,2
560,2316,,14735,1
561,2320,2323,3469,7
562,2327,2373,4273,4
563,2329,,1048,2
564,2333,2338,10912,1
565,2336,2494,457,1
566,2337,,1655,4
567,2341,2342,196,1
568,2345,8843,656,2
569,2376,2383,770,1
570,2377,2396,3160,1
571,2378,2379,13753,4
572,2381,2385,748,2
573,2386,,16554,4
574,2388,2392,293,2
575,2391,2393,35142,2
576,2398,2399,7215,2
577,2403,,3199,5
578,2406,2412,64,1
579,2407,,12015,1
580,2429,2450,992,2
581,2430,2457,448,1
582,2431,2432,768,1
583,2434,2436,11428,2
584,2440,2443,911,1
585,2441,2444,468,2
586,2451,2452,2428,2
587,2453,2455,808,2
588,2454,2459,62,4
589,2461,2490,420,2
590,2464,2473,127917,6
591,2465,2503,439,2
592,2468,2533,140,1
593,2471,2474,118,2
594,2480,2481,217,1
595,2482,2484,3778,4
596,2483,2557,779,3
597,2488,,959,0
598,2489,,18934,7
599,2496,,590,3
600,2500,2501,37705,3
601,2504,2510,118,1
602,2505,2520,62,2
603,2511,2515,205,1
604,2512,2521,78616,3
605,2519,2523,1433,1
606,2524,,414,1
607,2526,,117,1
608,2532,2542,1022,4
609,2541,2850,137,1
610,2544,2547,1300,2
611,2545,2548,883,1
612,2550,2958,8213,4
613,2553,,7912,4
614,2554,2556,156,2
615,2561,2570,1301,3
616,2562,,560,2
617,2563,,123,2
618,2564,2585,297,1
619,2567,2695,1919,1
620,2569,2572,1386,2
621,2571,2690,128,1
622,2573,,767,2
623,2577,2579,760,2
624,2578,,2840,1
625,2589,2591,5839,2
626,2592,2605,2113,3
627,2598,2603,130,1
628,2600,2601,193,2
629,2607,2645,89,1
630,2609,2610,461,1
631,2611,2614,1628,1
632,2612,3349,604,4
633,2615,2619,2265,3
634,2616,,2263,4
635,2618,2630,431,2
636,2621,,14947,3
637,2623,2665,2277,2
638,2627,2687,2389,2
639,2629,,215,3
640,2640,2642,954,2
641,2643,3379,16262,8
642,2644,2839,847,1
643,2647,,536,1
644,2650,,5039,2
645,2652,,122,1
646,2653,2654,3702,1
647,2656,,591,1
648,2657,2663,1960,3
649,2661,4473,1259,1
650,2662,2664,269,1
651,2673,2676,519,1
652,2675,2729,91,1
653,2677,2678,54510,2
654,2681,,3082,2
655,2682,2683,284,1
656,2684,2937,137,1
657,2685,2702,1264,2
658,2692,,454,2
659,2696,,2635,3
660,2699,,48,1
661,2700,2788,353,1
662,2701,,518,2
663,2704,2706,2480,2
664,2720,2721,805,2
665,2726,2730,3817,1
666,2727,,146,2
667,2732,,868,1
668,2733,2738,289,2
669,2735,2736,174,1
670,2740,,249,2
671,2741,,67,1
672,2750,,1263,2
673,2759,,88,1
674,2762,,3339,3
675,2770,2775,290,3
676,2781,,187,1
677,2783,2786,243,1
678,2789,2791,892,1
679,2793,2816,203,1
680,2795,2796,2827,1
681,2799,2802,10940,1
682,2800,2801,546,2
683,2803,2814,8389,3
684,2804,,2812,1
685,2805,,324,1
686,2808,2813,413,5
687,2812,2852,541,2
688,2821,,2320,2
689,2822,2824,260,1
690,2825,2828,25400,5
691,2827,,655,1
692,2830,2843,8743,2
693,2831,2834,67911,7
694,2833,4476,207,2
695,2835,2847,617,1
696,2848,2854,836,1
697,2851,2874,1319,1
698,2853,2856,578,2
699,2857,,535,1
700,2861,2862,4355,3
701,2864,2867,12252,5
702,2869,,196,1
703,2871,,24036,2
704,2875,2894,209,1
705,2876,2880,96,2
706,2877,2889,126,1
707,2879,2881,653,1
708,2884,2962,268,1
709,2885,2886,2086,1
710,2887,2899,165,1
711,2891,,3500,4
712,2892,2893,1012,2
713,2900,2901,3214,2
714,2902,2987,602,1
715,2913,2917,366,2
716,2919,2924,764,2
717,2925,,144,1
718,2926,2927,4052,1
719,2934,2940,694,1
720,2938,,119,0
721,2939,3064,76,1
722,2943,2945,743,3
723,2947,,102,2
724,2948,2955,384,2
725,2953,,419,3
726,2956,2957,202,2
727,2960,2965,679,1
728,2961,,991,3
729,2968,,153,1
730,2969,,624,1
731,2972,3153,380,3
732,2973,2975,3647,2
733,2980,3000,1084,1
734,2984,3389,193,1
735,2985,,2098,1
736,2986,3433,2365,2
737,2989,,27734,2
738,2992,,186,2
739,2994,2996,40612,8
740,2997,,174,1
741,3003,3004,225,2
742,3006,,820,2
743,3009,3020,321,2
744,3010,3013,8611,2
745,3011,3019,2546,3
746,3014,8553,850,1
747,3015,3060,379,1
748,3021,,3555,2
749,3022,3031,544,2
750,3023,,12564,2
751,3030,3041,399,1
752,3033,3034,719,1
753,3035,,1393,4
754,3036,3038,4883,2
755,3042,3045,1227,5
756,3046,3047,462,1
757,3050,3051,450,1
758,3052,3053,1966,1
759,3058,3071,101,2
760,3061,3062,3323,1
761,3066,3069,888,2
762,3070,3073,2560,1
763,3072,,73868,3
764,3076,,258,2
765,3077,15187,388,1
766,3078,3121,94,1
767,3079,3084,124,1
768,3080,3098,1805,3
769,3082,3083,2451,2
770,3085,3087,359,2
771,3086,3099,153,1
772,3088,3119,1665,1
773,3089,3288,554,1
774,3090,3103,2319,2
775,3094,,761,3
776,3100,3102,244,1
777,3101,,7770,1
778,3110,,17388,3
779,3111,,875,2
780,3118,3265,215,1
781,3120,3124,704,1
782,3122,,4056,2
783,3125,3151,6453,2
784,3126,,580,2
785,3127,3149,345,2
786,3128,,166,1
787,3136,3138,1115,1
788,3139,,257,1
789,3141,3178,258,2
790,3143,3147,58,1
791,3145,3166,8529,3
792,3148,5172,3476,2
793,3161,3164,12987,3
794,3165,3171,1198,1
795,3168,3169,1236,3
796,3173,3175,619,1
797,3176,3182,4153,3
798,3177,3940,1018,1
799,3181,3183,128,1
800,3184,3202,13484,2
801,3186,3187,869,1
802,3190,,253,2
803,3193,,11968,3
804,3194,3224,47452,2
805,3196,3201,5278,1
806,3197,4278,494,3
807,3198,,125,2
808,3207,3208,3941,1
809,3209,,285,2
810,3210,,442,4
811,3211,3213,552,2
812,3212,3244,932,1
813,3216,3387,651,2
814,3217,3218,6874,2
815,3219,,379,1
816,3228,3229,111,1
817,3232,,702,2
818,3236,3266,361,1
819,3238,,1716,1
820,3239,3241,779,2
821,3243,3248,3108,3
822,3246,,841,1
823,3249,3264,306,1
824,3252,,812,2
825,3253,3255,1261,7
826,3254,,1918,1
827,3261,,112,2
828,3269,,1411,3
829,3283,,2030,2
830,3285,3289,2051,1
831,3290,3294,12339,3
832,3292,,58,1
833,3295,3297,825,1
834,3300,3302,15998,2
835,3305,3312,429,3
836,3306,3321,3913,6
837,3307,,927,2
838,3320,3324,180,1
839,3325,3330,154,1
840,3331,3339,913,4
841,3333,4269,294,1
842,3335,3397,1031,1
843,3341,3343,353,3
844,3344,3348,2616,3
845,3354,3357,468,1
846,3358,6733,6491,4
847,3359,3372,7648,3
848,3365,3367,138,3
849,3369,29588,706,1
850,3371,,184,0
851,3373,3374,1431,2
852,3377,,356,1
853,3391,3416,997,2
854,3392,3487,421,3
855,3393,3396,8753,1
856,3398,3399,521,2
857,3401,,1780,3
858,3402,3404,216,1
859,3405,,1855,2
860,3406,3409,133,2
861,3411,3412,627,1
862,3420,3421,124,1
863,3422,3423,12125,3
864,3426,,229,1
865,3427,3436,8420,3
866,3431,3458,967,1
867,3432,3588,655,2
868,3435,3438,2631,2
869,3437,3448,527,1
870,3439,,848,1
871,3443,3444,212,1
872,3445,5435,597,2
873,3446,3450,1141,2
874,3447,,169,2
875,3454,,1080,3
876,3455,3524,87,1
877,3456,3457,1035,1
878,3459,3466,1234,4
879,3467,,177,0
880,3468,3469,93,1
881,3475,3478,1197,2
882,3479,3483,914,1
883,3490,,2061,3
884,3491,3501,122,1
885,3495,3500,535,1
886,3496,,248,2
887,3497,3606,169,1
888,3498,3499,1475,2
889,3502,3746,283,2
890,3504,3527,282,1
891,3505,3506,571,1
892,3507,3509,356,1
893,3508,3510,711,1
894,3514,3516,151,2
895,3517,43276,960,2
896,3518,3519,236,1
897,3521,,217,1
898,3522,,395,2
899,3528,3541,677,1
900,3529,3535,1344,2
901,3530,3532,928,1
902,3533,3536,808,1
903,3537,3540,3554,2
904,3542,27570,56,1
905,3543,3545,731,2
906,3547,,134923,5
907,3548,,780,1
908,3549,3551,20547,4
909,3552,,288,2
910,3560,,3601,2
911,3561,,189,2
912,3562,,167,1
913,3565,,140,1
914,3566,3657,354,2
915,3567,3570,4236,4
916,3572,,169,4
917,3575,3581,34907,5
918,3579,3676,1066,3
919,3582,3584,4559,2
920,3583,3589,3679,2
921,3586,,158,0
922,3593,,403,1
923,3600,,141,1
924,3605,3608,1368,1
925,3607,3612,99,1
926,3610,3618,105,1
927,3613,,565,2
928,3615,,828,3
929,3616,3809,7839,4
930,3623,,670,1
931,3625,3658,146,1
932,3626,3628,629,2
933,3630,3631,1006,2
934,3634,3636,357,2
935,3635,,510,2
936,3642,3644,17182,3
937,3646,3941,3897,2
938,3649,,3216,2
939,3664,3668,1259,3
940,3671,3691,1946,2
941,3672,,6052,2
942,3677,,1728,3
943,3679,,63,1
944,3682,3686,175,1
945,3684,32942,302,1
946,3685,3725,16390,5
947,3689,3690,18832,3
948,3692,,146,1
949,3694,3695,1319,1
950,3698,,257,1
951,3706,,857,4
952,3707,,12805,2
953,3708,3712,485,3
954,3709,3810,2170,2
955,3713,3714,24,1
956,3719,3722,17080,3
957,3721,,217,3
958,3727,,122,0
959,3728,,11446,2
960,3730,,911,3
961,3732,261209,63,2
962,3734,,624,2
963,3736,3744,177,1
964,3737,3739,3570,2
965,3743,3748,55,2
966,3745,,107,2
967,3749,,933,2
968,3753,3758,55,1
969,3754,,3571,5
970,3759,,82,1
971,3760,3764,777,2
972,3761,,1354,1
973,3766,3774,387,1
974,3767,3769,1090,2
975,3772,,1660,1
976,3775,,927,2
977,3776,3777,193,1
978,3778,,9249,1
979,3780,3804,1648,1
980,3781,,86,1
981,3783,3789,14792,1
982,3784,3803,50,1
983,3785,,14018,2
984,3790,3795,497,2
985,3791,,205,3
986,3797,,123,0
987,3799,,1085,1
988,3806,3816,156,1
989,3808,3830,230,1
990,3811,3812,4257,1
991,3814,3822,711,1
992,3820,3821,293,2
993,3828,,1017,2
994,3829,3832,7944,2
995,3836,,1302,4
996,3838,3839,247,5
997,3840,,105,1
998,3843,5543,197,2
999,3846,,884,0
1000,3847,,269,2
1001,3850,3859,1418,2
1002,3851,,119,1
1003,3857,3864,588,2
1004,3867,3869,233,1
1005,3870,7082,687,2
1006,3873,3875,1261,1
1007,3876,3971,49,1
1008,3877,3878,801,1
1009,3879,3880,1379,1
1010,3883,48891,445,2
1011,3887,,571,2
1012,3888,4022,298,2
1013,3893,,4778,2
1014,3895,,60,1
1015,3896,3900,1702,1
1016,3903,4011,64,1
1017,3906,3909,320,2
1018,3907,3911,806,1
1019,3914,,479,2
1020,3917,3918,427,3
1021,3924,,558,1
1022,3926,3930,688,2
1023,3928,3937,1187,1
1024,3929,4276,3044,1
1025,3938,,317,2
1026,3947,3996,25213,4
1027,3954,3956,2308,3
1028,3955,,330,3
1029,3957,,2175,3
1030,3959,3965,771,1
1031,3963,3964,457,2
1032,3967,,914,1
1033,3969,,1120,0
1034,3970,,6692,4
1035,3972,3975,6008,1
1036,3974,3986,438,1
1037,3977,,118,1
1038,3978,,98,1
1039,3980,3989,991,1
1040,3981,3984,296,1
1041,3985,4049,75,1
1042,3995,3997,1318,1
1043,4001,,1823,1
1044,4003,4004,305,2
1045,4006,4008,728,2
1046,4010,,322,1
1047,4012,,891,2
1048,4017,4020,7593,2
1049,4018,4068,20396,5
1050,4029,4031,11671,2
1051,4030,,5467,5
1052,4034,4036,9629,1
1053,4035,4041,12369,3
1054,4038,,918,1
1055,4042,,893,1
1056,4044,4048,1018,2
1057,4050,,601,2
1058,4052,4057,230,1
1059,4053,4056,488,2
1060,4055,4058,4330,2
1061,4060,4063,10221,2
1062,4061,,60,0
1063,4062,4064,20205,3
1064,4065,4071,159,1
1065,4066,,425,3
1066,4067,4079,123,1
1067,4069,4516,115,2
1068,4070,,53,1
1069,4072,,3972,1
1070,4076,,156,0
1071,4080,,18674,2
1072,4083,,197,1
1073,4084,4087,369,1
1074,4086,,130,1
1075,4090,4093,453,2
1076,4095,,64,1
1077,4097,4098,493,1
1078,4099,4108,10972,6
1079,4100,4103,3552,1
1080,4105,4106,96,2
1081,4110,4111,918,1
1082,4112,4137,5630,7
1083,4114,,18698,5
1084,4119,4126,8053,1
1085,4122,4187,319,1
1086,4123,4367,1770,3
1087,4127,4143,129,3
1088,4132,4135,3176,1
1089,4138,4140,5118,1
1090,4142,,172,1
1091,4144,4148,1608,2
1092,4146,4151,6544,1
1093,4152,4625,834,2
1094,4153,,127,1
1095,4156,4162,473,1
1096,4157,4159,851,2
1097,4163,4175,808,2
1098,4165,4174,82,1
1099,4168,,6900,4
1100,4176,,51,1
1101,4182,4206,18494,3
1102,4185,4195,7985,1
1103,4190,218977,4515,4
1104,4193,4332,78,2
1105,4197,,647,1
1106,4198,4199,3150,3
1107,4201,4202,2554,1
1108,4203,4204,346,1
1109,4208,,628,1
1110,4213,4237,1656,2
1111,4214,4215,3175,1
1112,4216,4217,546,3
1113,4220,4222,209,2
1114,4225,4229,736,3
1115,4230,,3059,1
1116,4232,4233,1033,4
1117,4239,4244,208,1
1118,4240,4243,589,2
1119,4242,,2030,1
1120,4246,4279,523,1
1121,4247,,502,2
1122,4248,4252,769,1
1123,4249,,418,1
1124,4251,4256,100,1
1125,4258,4259,40809,3
1126,4261,,583,1
1127,4262,,385,1
1128,4263,4264,27443,3
1129,4267,4778,57,1
1130,4271,4280,504,2
1131,4273,223522,2092,2
1132,4281,4283,6796,2
1133,4284,4288,1384,1
1134,4285,4287,8093,1
1135,4286,4289,1746,1
1136,4290,4291,1188,1
1137,4292,,5985,2
1138,4295,,208,0
1139,4296,,34,1
1140,4300,4312,33956,6
1141,4301,,444,1
1142,4308,4309,827,1
1143,4313,4358,69,1
1144,4315,,11865,2
1145,4318,,954,1
1146,4320,4349,108,2
1147,4322,,91,1
1148,4331,4339,6973,4
1149,4335,4338,1636,2
1150,4340,4356,2484,2
1151,4341,4354,560,3
1152,4342,4348,1020,1
1153,4343,4346,458,2
1154,4344,4373,1366,1
1155,4351,4384,1690,1
1156,4352,4368,24330,3
1157,4360,,1415,1
1158,4363,4369,1206,2
1159,4371,,548,0
1160,4372,4375,58176,6
1161,4381,4383,2096,2
1162,4387,,314,0
1163,4398,,4169,2
1164,4401,4410,13875,7
1165,4402,4406,605,1
1166,4404,4422,1417,1
1167,4409,4431,183,3
1168,4414,,121,0
1169,4416,4417,208,1
1170,4418,4421,8514,3
1171,4419,,107,1
1172,4428,4434,875,3
1173,4429,,1177,0
1174,4432,13541,70,1
1175,4437,,1675,2
1176,4438,,221,1
1177,4439,,412,2
1178,4443,4444,2065,3
1179,4447,,4719,1
1180,4449,4455,313,1
1181,4451,10174,378,1
1182,4452,4453,17055,3
1183,4458,4464,352,1
1184,4460,4465,1567,2
1185,4469,4474,46252,2
1186,4477,4479,16665,3
1187,4482,4825,530,1
1188,4486,4529,22,1
1189,4487,,463,1
1190,4488,4678,157,1
1191,4489,4501,852,2
